"key","en","fr","es"
"hello_world","Hello world!","Bonjour le monde!","¡Bonjour Mundo!"
"long_sentence","If a man does not have sauce, then he is lost. But the same man can get lost in the sauce. -Gucci Mane","Si un homme n'a pas de sauce, alors il est perdu. Mais le même homme peut se perdre dans la sauce. -Gucci Mane","Si un hombre no tiene salsa, entonces está perdido. Pero el mismo hombre puede perderse en la salsa. -Gucci Mane"
"test_sentence","This is a test sentence.","Ceci est une phrase test.","Esta es una oración de prueba."
"welcome","Welcome!","Bonjour!","¡Bienvenidos!"
"prefer_question","Hey? Which one do you prefer the most?","Hé? Lequel préférez-vous le plus?","¿Oye? ¿Cuál prefieres más?"
"basketball","Basketball","Basketball","Baloncesto"
"food_question","So you like food! What is your favorite McDonald's item?","Alors vous aimez la bouffe ! Quel est votre article McDonald's préféré?","¡Así que te gusta la comida! ¿Cuál es tu artículo favorito de McDonald's?"
"hamburger","Hamburger","Hamburger","Hamburguesa"
"ice_cream","Ice cream","Crème glacée","Helado"
"salad","Salad","Salade","Ensalada"
"like_hamburger","I like hamburgers too!","J'aime aussi les hamburgers!","¡A mí también me gustan las hamburguesas!"
"like_ice_cream","I enjoy ice cream, but the machine is always broken!","J'aime bien les glaces, mais la machine est toujours en panne!","Me gusta el helado, ¡pero la máquina siempre está rota!"
"yuck","Yuck!","Beurk!","Asqueroso"
"snoop_dogg_question","I like the activities he does! What's your favoroite things about Snoop Dogg?","J'aime les activités qu'il fait ! Qu'est-ce que tu préfères chez Snoop Dogg?","Me gustan las actividades que hace! ¿Cuáles son tus cosas favoritas de Snoop Dogg?"
"cooking_martha","Cooking with Martha Stewart","Cuisiner avec Martha Stewart","Cocinando con Martha Stewart"
"favorite_music","Yup! Still is my favorite music (no pun intended)","Ouais! C'est toujours ma musique préférée (sans jeu de mot)","¡Sí! Todavía es mi música favorita (sin juego de palabras)"
"cooking_show_know","I didn't know he has a cooking show","Je ne savais pas qu'il avait une émission de cuisine","No sabía que tiene un programa de cocina"
"pokemon_question","Cool! Quel est votre Pokémon préféré?","¡Enfriar! ¿Cuál es tu Pokémon favorito?"
"me_too","Me too!","Moi aussi!","¡Yo también!"
"classic","Classic!","Classique!","¡Clásico!"
"strong","Yup very strong","Ouais très fort","si muy fuerte"
"basketball_question","Who's your favorite player?","Quel est ton joueur préféré ?","¿Quién es tu jugador favorito?"
"fun","Yeah he's fun to watch","Ouais il est amusant à regarder","Sí, es divertido verlo"
"all_time_shooter","Good choice, he's the best shooter of all time","Bon choix, c'est le meilleur tireur de tous les temps","Buena elección, es el mejor tirador de todos los tiempos"
